               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12889,            0.031004,            0.032291,            0.013304,             0.19091,           0.0060351,          0.00073665,            0.085581,            0.024749,            0.021593,               6e-05,               6e-05,             0.09946
                   1,             0.11141,            0.030347,            0.028357,           0.0093869,             0.14545,           0.0048652,           0.0010106,            0.083865,            0.023966,            0.021319,          0.00012872,          0.00012872,            0.098829
                   2,             0.11758,            0.032673,             0.03066,             0.56194,            0.045455,            0.016027,           0.0020539,            0.081557,            0.023339,            0.020788,          0.00019222,          0.00019222,            0.098192
                   3,             0.10062,            0.029097,            0.027956,            0.049002,            0.090909,             0.02182,            0.003565,            0.080152,            0.022183,            0.020054,           0.0002468,           0.0002468,            0.097547
                   4,            0.095101,            0.029327,             0.02703,            0.065264,            0.090909,            0.054767,           0.0066429,            0.078143,            0.021966,            0.019462,          0.00028938,          0.00028938,            0.096889
                   5,            0.088305,            0.027702,            0.026195,            0.089732,            0.090909,            0.032782,           0.0066478,            0.073835,            0.021568,             0.01947,          0.00031775,          0.00031775,            0.096218
                   6,            0.080848,            0.029221,            0.023623,             0.16587,            0.090909,            0.043002,           0.0081855,            0.068552,             0.02154,             0.01914,          0.00033075,          0.00033075,            0.095531
                   7,            0.072357,            0.028217,            0.023534,             0.14237,             0.18182,            0.064377,            0.011276,            0.063475,            0.021265,            0.018261,          0.00032837,          0.00032837,            0.094828
                   8,            0.079335,            0.030549,            0.025138,             0.14831,             0.13636,            0.067784,            0.012495,            0.057349,            0.021665,            0.017542,          0.00031184,          0.00031184,            0.094112
                   9,            0.078801,            0.032788,            0.027052,             0.11361,             0.18182,            0.072637,            0.016439,            0.057746,            0.021191,            0.018568,          0.00028355,          0.00028355,            0.093384
                  10,            0.068589,            0.028702,            0.025571,             0.23828,             0.18182,             0.11963,            0.019581,            0.055166,            0.021498,            0.018147,            0.000247,            0.000247,            0.092647
                  11,            0.067747,            0.026655,            0.022058,             0.18248,             0.13636,             0.13418,            0.034665,            0.053679,            0.021573,            0.018811,          0.00020658,          0.00020658,            0.091907
                  12,             0.06772,            0.028698,            0.024419,             0.22199,             0.13636,             0.10577,            0.026704,            0.053478,            0.021392,            0.019663,          0.00016735,          0.00016735,            0.091167
                  13,            0.079043,            0.028997,            0.027822,            0.089445,             0.18182,            0.062703,           0.0098604,            0.052099,            0.021539,            0.020979,          0.00013474,          0.00013474,            0.090435
                  14,            0.071641,            0.026569,            0.022619,            0.078425,             0.13636,            0.052604,           0.0092553,            0.054388,            0.020557,              0.0205,          0.00011423,          0.00011423,            0.089714
